player_id,player_name,birth_date,nationality,primary_broad_position,primary_general_position,secondary_broad_position,secondary_general_position,season_name,height_ft,height_in,weight_lb,competition,height_ft_outlier,height_in_outlier,weight_lb_outlier
0Oq624oPq6,Kalani Kossa-Rienzi,2002-06-27,USA,DF,FB,MF,W,2024,5.0,8.0,150.0,mls,False,False,False
0Oq633E7Q6,Abdi Salim,2001-04-01,USA,DF,CB,,,2023,,,,mls,False,False,False
0Oq63n7Q6D,Eric Hassli,1981-05-03,France,FW,ST,,,2013,6.0,4.0,201.0,mls,False,False,False
0Oq63oxzQ6,Aiden McFadden,1998-09-28,USA,DF,FB,,,2022,5.0,9.0,165.0,mls,False,False,False
0Oq6la47M6,Pecka,1989-05-02,Brazil,MF,DM,,CM,2015,5.0,8.0,152.0,mls,False,False,False
0Oq6lakAM6,Ben Newnam,1991-04-18,USA,DF,FB,,,2015,5.0,10.0,165.0,mls,False,False,False
0Oq6lDAgM6,Deian Boldor,1995-02-03,Romania,DF,CB,,,2017,6.0,2.0,174.0,mls,False,False,False
0Oq6lj26M6,Samuel,1991-02-25,Brazil,FW,ST,,,2014,6.0,1.0,192.0,mls,False,False,False
0Oq6ln0zM6,Emery Welshman,1991-11-09,USA,FW,ST,,,2013,5.0,11.0,181.0,mls,False,False,False
0Oq6lp3XM6,Enzo Martinez,1990-09-29,Uruguay,MF,CM,,,2018,5.0,7.0,161.0,mls,False,False,False
0Oq6LpK2M6,Wayne Frederick,2004-06-13,Trinidad & Tobago,MF,AM,,,2024,,,,mls,False,False,False
0Oq6lYbAM6,Luiz Camargo,1987-05-04,Brazil,MF,CM,,,2013,5.0,8.0,174.0,mls,False,False,False
0Oq6O0XQ6D,Emmanuel Ledesma,1988-05-24,Argentina,MF,W,,,2019,5.0,11.0,170.0,mls,False,False,False
0Oq6oePQ6D,Arévalo Ríos,1982-01-01,Uruguay,MF,CM,,,2013,5.0,7.0,150.0,mls,False,False,False
0Oq6w9J2Q6,Augustine Williams,1997-08-03,Sierra Leone,FW,ST,,,2021,6.0,2.0,165.0,mls,False,False,False
0Oq6we8zQ6,Joshua Drack,1999-09-22,USA,MF,DM,,,2021,5.0,8.0,152.0,mls,False,False,False
0Oq6weerQ6,Andrew Wheeler-Omiunu,1994-12-01,USA,MF,CM,,,2018,5.0,9.0,174.0,mls,False,False,False
0Oq6wmydQ6,Denil Maldonado,1998-05-26,Honduras,DF,CB,,,2023,5.0,10.0,,mls,False,False,False
0Oq6wvbgQ6,Vitor Costa,1994-07-01,Brazil,DF,FB,,,2024,6.0,0.0,161.0,mls,False,False,False
0Oq6wZlXQ6,Michaell Chirinos,1995-06-17,Honduras,MF,W,FW,W,2019,5.0,5.0,146.0,mls,False,False,False
0x5g1NZQ7O,Brian Ching,1978-05-24,USA,FW,ST,,,2013,6.0,1.0,196.0,mls,False,False,False
0x5g2EwmM7,Michael Edwards,2000-11-27,USA,DF,CB,,,2024,,,,mls,False,False,False
0x5g2Ra7M7,Taylor Hunter,1993-07-07,USA,DF,FB,,,2015,6.0,0.0,174.0,mls,False,False,False
0x5g2VW7M7,Romain Gall,1995-01-31,USA,FW,ST,MF,W,2014,5.0,9.0,141.0,mls,False,False,False
0x5g2wGjM7,Bruno Gaspar,1993-04-21,Angola,DF,FB,,,2021,5.0,11.0,152.0,mls,False,False,False
0x5g2ZRZM7,Oalex Anderson,1995-11-11,St. Vincent and the Grenadines,FW,W,,,2016,5.0,8.0,154.0,mls,False,False,False
0x5g8Nwq7O,Michael Thomas,1989-03-08,USA,MF,CM,,,2013,5.0,10.0,192.0,mls,False,False,False
0x5gBe7M7O,Muhamed Keita,1990-09-02,Norway,MF,CM,,,2017,5.0,8.0,143.0,mls,False,False,False
0x5gJEVLM7,Jacob Murrell,2004-03-28,USA,FW,ST,,,2024,6.0,2.0,,mls,False,False,False
0x5gJg07M7,Malachi Jones,2003-09-23,Sierra Leone,MF,W,,,2024,5.0,10.0,,mls,False,False,False
0x5gJWwjM7,Dawid Bugaj,2004-07-09,Poland,DF,FB,,,2024,,,,mls,False,False,False
0x5gLEGRq7,Oskar Aegren,1998-09-10,Sweden,DF,CB,,,2022,6.0,2.0,179.0,mls,False,False,False
0x5gP64Pq7,Richard Balchan,1989-01-18,USA,DF,FB,,,2014,6.0,0.0,165.0,mls,False,False,False
0x5gPakRq7,Nicolás Freire,1994-02-18,Argentina,DF,CB,,,2024,6.0,1.0,176.0,mls,False,False,False
0x5gPeBPq7,Giliano Wijnaldum,1992-08-31,Netherlands,DF,FB,,,2017,5.0,11.0,168.0,mls,False,False,False
0x5gPV9Zq7,Masato Kudo,1990-05-06,Japan,FW,ST,,,2016,5.0,10.0,163.0,mls,False,False,False
0x5gPy4mq7,Danny Garcia,1993-10-14,USA,MF,AM,,,2014,5.0,4.0,146.0,mls,False,False,False
0x5gvbjM7O,Steven Vitória,1987-01-11,Canada,DF,CB,,,2015,6.0,5.0,190.0,mls,False,False,False
0x5gWwgr57,Álvaro Quezada,1999-03-04,USA,DF,FB,,,2021,5.0,9.0,150.0,mls,False,False,False
2e7Mzo75r0,Darel Russell,1980-10-22,England,MF,CM,,,2013,5.0,10.0,163.0,mls,False,False,False
2lqR7EBWQr,Nimfasha Berchimas,2008-02-22,USA,MF,W,,,2024,,,,mls,False,False,False
2lqR7pJQr0,Kléberson,1979-06-19,Brazil,MF,CM,,,2013,5.0,9.0,141.0,mls,False,False,False
2lqR7V9AQr,Georgi Minoungou,2002-07-25,Ivory Coast,MF,W,,,2024,,,,mls,False,False,False
2lqR7YEaQr,Jackson Travis,2004-02-23,USA,DF,FB,,,2024,,,,mls,False,False,False
2lqR7yoAQr,Mykhi Joyner,2006-08-30,USA,MF,W,,,2024,,,,mls,False,False,False
2lqR7yyDQr,Alessandro Biello,2006-04-07,Canada,MF,CM,,,2024,6.0,1.0,,mls,False,False,False
2lqRJ0l4qr,Hosei Kijima,2002-07-01,Japan,MF,AM,,,2024,5.0,10.0,,mls,False,False,False
2lqRj80qr0,Juninho Pernambucano,1975-01-30,Brazil,MF,CM,,,2013,5.0,10.0,157.0,mls,False,False,False
2lqRJeA4qr,Bryant Farkarlun,2001-07-14,Liberia,MF,W,,,2024,,,,mls,False,False,False
2lqRjL12qr,Brandan Craig,2004-04-07,USA,MF,DM,,,2022,6.0,1.0,159.0,mls,False,False,False
2lqRJpxnqr,Hugo Bacharach,2001-07-27,Spain,DF,CB,,,2024,,,,mls,False,False,False
2lqRJpzJqr,Jose Casas de Abadal,2000-06-20,USA,FW,W,DF,FB,2024,,,,mls,False,False,False
2lqRk034Qr,Keegan Hughes,2000-07-22,USA,DF,CB,,,2023,,,,mls,False,False,False
2lqRk08nQr,Luis Arriaga,2001-01-26,USA,MF,DM,,,2019,5.0,7.0,141.0,mls,False,False,False
2lqRk3EJQr,Walker Hume,1993-08-22,USA,DF,CB,,,2017,,,,mls,False,False,False
2lqRkdg4Qr,Raymond Lee,1993-04-26,USA,DF,FB,,,2015,5.0,11.0,176.0,mls,False,False,False
2lqRkeWaQr,Jon Bakero,1996-11-05,Spain,FW,ST,,,2018,6.0,2.0,163.0,mls,False,False,False
2lqRkj6AQr,Trevor Spangenberg,1991-04-21,USA,GK,GK,,,2014,6.0,3.0,192.0,mls,False,False,False
2lqRkjBAQr,Kyle Scott,1997-12-22,USA,MF,CM,,,2021,5.0,8.0,150.0,mls,False,False,False
2lqRkRPaQr,Fifi Baiden,1991-11-11,USA,MF,DM,,,2014,5.0,7.0,152.0,mls,False,False,False
2lqRL2JMr0,George John,1987-03-20,USA,DF,CB,,,2013,6.0,3.0,209.0,mls,False,False,False
2lqRNNLqr0,Colin Clark,1984-04-11,USA,MF,W,,,2013,6.0,0.0,176.0,mls,False,False,False
2lqRNx4qr0,Carlos Borja,1988-01-18,USA,DF,FB,,,2013,6.0,0.0,179.0,mls,False,False,False
2lqRR1wxqr,Marlon,1995-09-07,Brazil,DF,CB,,,2024,6.0,0.0,176.0,mls,False,False,False
2lqRR3wJqr,Bjørn Inge Utvik,1996-02-28,Norway,DF,CB,,,2024,6.0,0.0,165.0,mls,False,False,False
2lqRR64nqr,Sebastián Fernandez,1989-11-15,Uruguay,MF,W,,,2014,5.0,8.0,165.0,mls,False,False,False
2lqRREV4qr,Diego Martínez,1992-07-05,Argentina,DF,FB,,,2016,5.0,10.0,159.0,mls,False,False,False
2lqRRg2xqr,Marcos Sánchez,1989-12-23,Panama,MF,W,,CM,2013,5.0,9.0,154.0,mls,False,False,False
2lqRRPOJqr,Kenny Saief,1993-12-17,USA,FW,ST,,,2019,5.0,9.0,159.0,mls,False,False,False
2lqRRwrnqr,Germán Mera,1990-03-05,Colombia,DF,CB,,,2013,6.0,2.0,190.0,mls,False,False,False
2lqRRz8Jqr,Logan Emory,1988-01-10,Canada,DF,FB,,,2013,6.0,1.0,181.0,mls,False,False,False
2vQ100GqrA,Marcelo Saragosa,1982-01-22,Brazil,MF,DM,,CM,2013,6.0,0.0,176.0,mls,False,False,False
2vQ113lQrA,Fernando Bob,1988-01-07,Brazil,MF,DM,,,2018,5.0,11.0,163.0,mls,False,False,False
2vQ128xMrA,Brian Perk,1989-07-21,USA,GK,GK,,,2014,5.0,10.0,176.0,mls,False,False,False
2vQ12ROMrA,Josué Martínez,1990-03-25,Costa Rica,FW,ST,,,2013,5.0,10.0,161.0,mls,False,False,False
2vQ14nnLqr,Szabolcs Schon,2000-09-27,Hungary,MF,W,,,2021,5.0,8.0,,mls,False,False,False
2vQ14ReGqr,Fabio,1997-05-25,Brazil,FW,ST,,,2021,,,,mls,False,False,False
2vQ14xl0qr,Dylan Chambost,1997-08-19,France,MF,CM,,AM,2024,,,,mls,False,False,False
2vQ1dVlLqr,Alonso Jiménez,2001-08-20,Mexico,MF,DM,,,2024,,,,mls,False,False,False
2vQ1dyZwqr,Geovane Jesus,2001-07-31,Brazil,DF,FB,,,2023,5.0,11.0,,mls,False,False,False
2vQ1jG0bMr,Danny Flores,2002-04-06,USA,MF,W,,,2023,5.0,8.0,150.0,mls,False,False,False
2vQ1L4x4qr,Bobby Warshaw,1988-11-21,USA,MF,DM,,W,2013,6.0,0.0,185.0,mls,False,False,False
2vQ1LdEKqr,José Manuel Rivera,1986-06-16,Mexico,MF,CM,,,2013,5.0,10.0,154.0,mls,False,False,False
2vQ1Le1Oqr,Rafael Gladiador,1992-07-13,Brazil,FW,ST,,,2013,6.0,0.0,190.0,mls,False,False,False
2vQ1LEnlqr,Erick,1988-03-24,Brazil,MF,DM,,,2013,5.0,10.0,163.0,mls,False,False,False
2vQ1LRjxqr,Jaime Alas,1989-07-30,El Salvador,MF,W,,,2013,5.0,8.0,150.0,mls,False,False,False
2vQ1N8YKMr,Tomas Hilliard-Arce,1995-11-22,USA,DF,CB,,,2018,6.0,1.0,176.0,mls,False,False,False
2vQ1NBY8Mr,Joaquín Pereyra,1998-12-01,Argentina,MF,W,,,2024,5.0,11.0,159.0,mls,False,False,False
2vQ1Njr8Mr,Nick Walker,1990-01-23,Trinidad & Tobago,FW,ST,,,2014,6.0,3.0,192.0,mls,False,False,False
2vQ1XX0qrA,Domenico Criscito,1986-12-30,Italy,DF,FB,,,2022,6.0,0.0,165.0,mls,False,False,False
2vQ1zJ0MrA,Jeremy Brockie,1987-10-07,New Zealand,FW,ST,,,2013,6.0,0.0,176.0,mls,False,False,False
315V60b59x,Tim Ream,1987-10-05,USA,DF,FB,,CB,2024,6.0,1.0,176.0,mls,False,False,False
315V7AgEq9,Peyton Miller,2007-11-08,USA,DF,FB,,,2024,,,,mls,False,False,False
315V7An9q9,Christian McFarlane,2007-01-25,USA,DF,FB,,,2024,6.0,0.0,139.0,mls,False,False,False
315V7EGvq9,Ismael Koné,2002-06-06,Ivory Coast,MF,CM,,,2022,6.0,2.0,168.0,mls,False,False,False
315VBbE59x,Gorka Larrea,1984-04-07,Spain,MF,DM,,,2014,5.0,11.0,165.0,mls,False,False,False
315VdlXQ9x,Gale Agbossoumonde,1991-11-17,USA,DF,CB,,,2013,6.0,2.0,185.0,mls,False,False,False
315VedBGM9,Mitchell Taintor,1994-09-11,USA,DF,CB,,,2018,6.0,2.0,185.0,mls,False,False,False
315VedN9M9,Joe Nasco,1984-06-18,USA,GK,GK,,,2014,6.0,3.0,207.0,mls,False,False,False
315Veg7YM9,Bradlee Baladez,1991-08-08,USA,MF,W,,,2013,6.0,1.0,185.0,mls,False,False,False
315VeK4YM9,Raphael Augusto,1991-03-06,Brazil,MF,CM,,AM,2013,5.0,11.0,172.0,mls,False,False,False
315VeN4YM9,Anderson Conceicão,1989-10-24,Brazil,DF,CB,,,2016,6.0,2.0,179.0,mls,False,False,False
315VenZbM9,Emmanuel Más,1989-01-15,Argentina,DF,FB,,,2021,5.0,11.0,179.0,mls,False,False,False
315VevzEM9,Anthony Arena,1990-08-03,USA,DF,CB,,,2013,5.0,11.0,172.0,mls,False,False,False
315VkJ7nq9,Georges Mukumbilwa,1999-09-23,Canada,MF,CM,,,2019,5.0,11.0,161.0,mls,False,False,False
315VkkGq9x,Jermain Defoe,1982-10-07,England,FW,ST,,,2014,5.0,7.0,143.0,mls,False,False,False
315VPg0EQ9,Christian Torres,2004-04-15,USA,FW,W,,,2020,5.0,10.0,141.0,mls,False,False,False
315VPR6vQ9,Petar Musa,1998-03-04,Croatia,FW,ST,,,2024,,,,mls,False,False,False
315VrKY59x,Wells Thompson,1983-11-25,USA,DF,FB,,,2013,5.0,10.0,157.0,mls,False,False,False
315Vv9b59x,Adrien Regattin,1991-08-22,Morocco,FW,ST,,,2020,5.0,6.0,146.0,mls,False,False,False
315VX3kGQ9,Wan Kuzain,1998-09-14,USA,MF,CM,,,2018,5.0,10.0,132.0,mls,False,False,False
315VXepvQ9,Matt Bersano,1992-09-10,USA,GK,GK,,,2022,6.0,1.0,185.0,mls,False,False,False
315VXO8XQ9,Tomas Totland,1999-09-28,Norway,DF,FB,,,2024,5.0,11.0,,mls,False,False,False
315VXoGEQ9,Jordan McCrary,1993-07-28,USA,DF,FB,,,2018,5.0,9.0,165.0,mls,False,False,False
315VXzv6Q9,Mario González,1996-02-25,Spain,FW,ST,,,2023,,,,mls,False,False,False
3Xj5Y7wQbd,Zat Knight,1980-05-02,England,DF,CB,,,2014,6.0,6.0,227.0,mls,False,False,False
4JMA0w7QKg,Jo Inge Berget,1990-09-11,Norway,FW,ST,,,2018,6.0,0.0,172.0,mls,False,False,False
4JMA8koOQK,Joshua Bolma,2002-04-10,Ghana,MF,DM,,,2023,5.0,9.0,135.0,mls,False,False,False
4JMA9lv2MK,José Hernández,1996-04-12,USA,MF,W,,,2017,5.0,3.0,126.0,mls,False,False,False
4JMA9y3YMK,Isaac Angking,2000-01-24,USA,MF,W,,,2018,5.0,10.0,159.0,mls,False,False,False
4JMAaDJ9MK,Charlie Rugg,1990-10-02,USA,FW,ST,,,2013,6.0,0.0,192.0,mls,False,False,False
4JMAaDnlMK,Stéfano Pinho,1991-01-12,Brazil,MF,W,FW,ST,2018,6.0,1.0,172.0,mls,False,False,False
4JMAaExYMK,Fraser Aird,1995-02-02,Canada,DF,FB,,,2016,5.0,8.0,154.0,mls,False,False,False
4JMAaOVDMK,Shay Facey,1995-01-07,England,DF,CB,,,2015,5.0,10.0,141.0,mls,False,False,False
4JMAaozOMK,Josh Ford,1987-11-06,USA,GK,GK,,,2015,6.0,0.0,181.0,mls,False,False,False
4JMAkzG1qK,Axel Kei,2007-12-30,USA,FW,ST,,,2023,6.0,1.0,161.0,mls,False,False,False
4JMAkzjkqK,Ervin Torres,2007-11-14,USA,MF,CM,,,2024,,,,mls,False,False,False
4JMALwAlQK,Giovanni Aguilar,1998-03-08,USA,MF,DM,,,2023,6.0,0.0,176.0,mls,False,False,False
4JMAomalqK,José Fajardo,1993-08-18,Panama,FW,ST,,,2023,5.0,11.0,176.0,mls,False,False,False
4JMAoZr1qK,Kamron Habibullah,2003-11-23,Canada,MF,CM,FW,ST,2021,5.0,7.0,150.0,mls,False,False,False
4JMAR995Kg,Danny Califf,1980-03-17,USA,DF,CB,,,2013,6.0,2.0,185.0,mls,False,False,False
4wM420oAqj,Ian Christianson,1991-03-06,USA,DF,FB,,,2014,5.0,11.0,157.0,mls,False,False,False
4wM42Nxdqj,Angeliño,1997-01-04,Spain,DF,FB,,,2015,5.0,7.0,152.0,mls,False,False,False
4wM42WlNqj,Gelmin Rivas,1989-03-23,Venezuela,FW,ST,,,2020,6.0,1.0,185.0,mls,False,False,False
4wM42XlqjB,Jamie Smith,1980-11-20,Scotland,MF,CM,,,2013,5.0,8.0,165.0,mls,False,False,False
4wM42xoAqj,Harry Novillo,1992-02-11,France,FW,W,,,2019,6.0,0.0,176.0,mls,False,False,False
4wM46RpqjB,Emil Forsberg,1991-10-23,Sweden,MF,W,,AM,2024,5.0,10.0,168.0,mls,False,False,False
4wM4aeDN5j,Joel Qwiberg,1992-10-09,Sweden,DF,FB,,,2018,5.0,7.0,150.0,mls,False,False,False
4wM4ao0z5j,Kristoffer Reaves,1995-10-11,USA,DF,CB,,FB,2018,6.0,2.0,161.0,mls,False,False,False
4wM4aRPp5j,Samuel Shashoua,1999-05-13,England,MF,W,FW,ST,2024,,,,mls,False,False,False
4wM4aRZA5j,Ben McKendry,1993-03-25,Canada,MF,CM,,,2017,5.0,11.0,159.0,mls,False,False,False
4wM4awnp5j,Joey Calistri,1993-11-20,USA,FW,W,,,2016,5.0,10.0,161.0,mls,False,False,False
4wM4E1og5j,Malcolm Fry,2005-05-15,USA,FW,ST,,,2024,5.0,9.0,157.0,mls,False,False,False
4wM4J01Nqj,Rocco Rios Novo,2002-06-04,Argentina,GK,GK,,,2022,5.0,10.0,154.0,mls,False,False,False
4wM4J12kqj,Omar Browne,1994-05-03,Panama,FW,W,,,2019,5.0,8.0,159.0,mls,False,False,False
4wM4J9zlqj,Pedro de la Vega,2001-02-07,Argentina,MF,W,,,2024,5.0,9.0,148.0,mls,False,False,False
4wM4JbWzqj,Carl Sainté,2002-08-09,Haiti,MF,DM,,CM,2024,6.0,1.0,181.0,mls,False,False,False
4wM4JGRNqj,Joshué Quiñonez,2001-05-29,Ecuador,DF,CB,,FB,2022,5.0,11.0,172.0,mls,False,False,False
4wM4JkaAqj,Thiago Fernandes,2001-03-13,Brazil,MF,W,,,2022,,,,mls,False,False,False
4wM4JrbBqj,Pavel Bucha,1998-03-11,Czech Republic,MF,CM,,,2024,5.0,9.0,154.0,mls,False,False,False
4wM4kvpQjB,Maicon Santos,1984-04-18,Brazil,FW,ST,,,2013,6.0,1.0,187.0,mls,False,False,False
4wM4LABMjB,Kristinn Steindórsson,1990-04-29,Iceland,MF,W,,,2015,5.0,8.0,154.0,mls,False,False,False
4wM4pJzNMj,Ibrahim Kasule,2004-02-17,Uganda,MF,W,,,2023,,,,mls,False,False,False
4wM4pp44Mj,Joey Akpunonu,2001-12-21,USA,DF,FB,,,2023,6.0,3.0,185.0,mls,False,False,False
7vQ736YGQD,Luis González,1990-12-22,Venezuela,MF,W,,DM,2017,5.0,7.0,146.0,mls,False,False,False
7vQ73B4GQD,Konrad Warzycha,1989-02-14,USA,MF,CM,,,2013,6.0,1.0,192.0,mls,False,False,False
7vQ7Ba4YqD,Marlon Vargas,2001-01-12,USA,MF,CM,,,2023,5.0,4.0,135.0,mls,False,False,False
7vQ7BardqD,Frederik Kleemann,1999-03-19,USA,MF,DM,DF,CB,2021,6.0,4.0,,mls,False,False,False
7vQ7eNPO5D,Mohammed Sofo,,Ghana,MF,W,,,2024,,,,mls,False,False,False
7vQ7J8JYqD,Joseph Paintsil,1998-02-01,Ghana,FW,W,,,2024,5.0,7.0,154.0,mls,False,False,False
7vQ7JODqD1,John Thorrington,1979-10-17,USA,MF,CM,,,2013,5.0,8.0,152.0,mls,False,False,False
7vQ7r78eqD,Jeremiah Gutjahr,1997-08-10,USA,DF,FB,,,2019,5.0,10.0,161.0,mls,False,False,False
7vQ7rJ3eqD,Thiago Santos,1989-09-05,Brazil,MF,DM,,,2020,5.0,11.0,172.0,mls,False,False,False
7vQ7rKGYqD,Andrew Thomas,1998-09-01,USA,GK,GK,,,2024,6.0,2.0,,mls,False,False,False
7vQ7rmKYqD,Abraham Romero,1998-02-18,Mexico,GK,GK,,,2024,6.0,3.0,179.0,mls,False,False,False
7vQ7rvleqD,Matheus Silva,1996-12-08,Brazil,MF,CM,,,2016,6.0,2.0,196.0,mls,False,False,False
7vQ7rWkEqD,Timo Pitter,1992-09-01,Germany,MF,AM,,,2016,5.0,8.0,161.0,mls,False,False,False
7vQ7X1OMD1,Agustín Pelletieri,1982-05-17,Argentina,MF,CM,,DM,2014,5.0,8.0,161.0,mls,False,False,False
7vQ7xgKOMD,Sergio Oregel,2005-05-16,USA,MF,DM,,,2022,5.0,9.0,143.0,mls,False,False,False
7vQ7xGkYMD,Oscar Verhoeven,2006-05-31,USA,DF,FB,,,2024,,,,mls,False,False,False
7vQ7xpBzMD,Taha Habroune,2006-02-05,USA,MF,AM,,,2024,,,,mls,False,False,False
7vQ7xWmYMD,Édier Ocampo,2003-10-03,Colombia,DF,FB,,,2024,5.0,8.0,146.0,mls,False,False,False
7VqG00lAQv,Benjamin Redzic,2002-09-26,USA,MF,DM,,,2022,5.0,11.0,154.0,mls,False,False,False
7VqG00yjQv,Adam Armour,2002-09-27,USA,MF,W,,,2022,5.0,9.0,146.0,mls,False,False,False
7VqG044WQv,Mateo Bajamich,1999-08-03,Argentina,FW,ST,,,2021,,,,mls,False,False,False
7VqG080xQv,Nicksoen Gomis,2002-03-15,France,DF,CB,,,2024,,,,mls,False,False,False
